HomePlanet,CryoSleep,Destination,Age,VIP,CabinDeck,CabinNumber,CabinSide,TotalSpent
Earth,True,TRAPPIST-1e,7.0,False,G,345,S,0.0
Earth,False,TRAPPIST-1e,15.0,False,F,425,P,1079.0
Earth,False,TRAPPIST-1e,13.0,False,F,420,S,874.0
Europa,True,TRAPPIST-1e,18.0,False,B,89,S,0.0
Earth,True,PSO J318.5-22,38.0,False,G,346,P,0.0
Earth,False,TRAPPIST-1e,45.0,False,F,426,P,2797.0
Earth,False,TRAPPIST-1e,19.0,False,G,348,P,628.0
Earth,False,TRAPPIST-1e,49.0,False,F,421,S,1527.0
Earth,False,TRAPPIST-1e,21.0,False,F,423,S,865.0
Earth,False,TRAPPIST-1e,18.0,False,F,424,S,2429.0
Mars,True,TRAPPIST-1e,43.0,False,F,429,P,0.0
Mars,True,PSO J318.5-22,27.0,False,F,425,S,0.0
Mars,False,TRAPPIST-1e,0.0,False,F,425,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,G,349,P,773.0
Mars,True,TRAPPIST-1e,35.0,False,F,427,S,0.0
Mars,False,TRAPPIST-1e,20.0,False,F,427,S,1216.0
Earth,False,TRAPPIST-1e,24.0,False,F,433,P,804.0
Earth,False,TRAPPIST-1e,41.0,False,G,351,P,6198.0
Earth,False,PSO J318.5-22,23.0,False,G,347,S,774.0
Earth,True,PSO J318.5-22,27.0,False,G,352,P,0.0
Earth,True,55 Cancri e,58.0,False,G,348,S,0.0
Europa,False,TRAPPIST-1e,30.0,False,C,80,S,8791.0
Earth,False,55 Cancri e,24.0,False,F,428,S,566.0
Europa,False,TRAPPIST-1e,31.0,False,B,64,P,4230.0
Mars,False,PSO J318.5-22,46.0,False,F,429,S,1233.0
Mars,False,TRAPPIST-1e,20.0,False,F,429,S,1040.0
Earth,True,TRAPPIST-1e,20.0,False,G,350,S,0.0
Earth,False,TRAPPIST-1e,30.0,False,F,437,P,1385.0
Earth,False,55 Cancri e,24.0,False,F,438,P,691.0
Mars,True,TRAPPIST-1e,48.0,False,F,431,S,0.0
Earth,False,PSO J318.5-22,25.0,False,F,439,P,689.0
Earth,True,TRAPPIST-1e,43.0,False,G,352,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,F,440,P,1050.0
Europa,False,55 Cancri e,26.0,False,B,65,P,4715.0
Europa,True,TRAPPIST-1e,37.0,False,B,65,P,0.0
Europa,False,55 Cancri e,42.0,False,B,65,P,4140.0
Earth,False,55 Cancri e,61.0,False,E,156,S,1624.0
Mars,False,TRAPPIST-1e,29.0,False,F,442,P,2598.0
Mars,False,TRAPPIST-1e,51.0,False,F,443,P,1688.0
Mars,False,TRAPPIST-1e,43.0,False,D,76,S,2579.0
Europa,True,55 Cancri e,25.0,False,B,90,S,0.0
Earth,False,TRAPPIST-1e,31.0,False,E,157,S,789.0
Earth,False,PSO J318.5-22,13.0,False,F,432,S,943.0
Earth,False,TRAPPIST-1e,20.0,False,G,354,S,774.0
Earth,True,TRAPPIST-1e,16.0,False,G,355,S,0.0
Earth,False,TRAPPIST-1e,15.0,False,F,434,S,2727.0
Earth,False,TRAPPIST-1e,50.0,False,F,445,P,2175.0
Europa,False,55 Cancri e,41.0,True,A,27,S,31076.0
Europa,True,TRAPPIST-1e,32.0,False,A,27,S,0.0
Earth,False,TRAPPIST-1e,47.0,False,G,357,S,882.0
Earth,True,PSO J318.5-22,29.0,False,G,355,P,0.0
Earth,False,TRAPPIST-1e,14.0,False,F,435,S,804.0
Earth,True,PSO J318.5-22,25.0,False,G,356,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,437,S,739.0
Mars,False,TRAPPIST-1e,32.0,False,E,159,S,954.0
Earth,False,55 Cancri e,31.0,False,F,438,S,689.0
Earth,False,TRAPPIST-1e,24.0,False,F,438,S,1360.0
Earth,False,TRAPPIST-1e,39.0,False,G,359,P,907.0
Mars,True,55 Cancri e,20.0,False,F,448,P,0.0
Mars,True,55 Cancri e,20.0,False,F,448,P,0.0
Mars,False,TRAPPIST-1e,19.0,False,E,134,P,0.0
Mars,True,55 Cancri e,17.0,False,F,448,P,0.0
Earth,False,TRAPPIST-1e,27.0,False,F,449,P,742.0
Europa,False,55 Cancri e,28.0,False,C,83,S,4735.0
Europa,True,TRAPPIST-1e,41.0,False,C,83,S,0.0
Europa,True,55 Cancri e,25.0,False,A,28,S,0.0
Earth,False,PSO J318.5-22,26.0,False,F,439,S,562.0
Earth,False,TRAPPIST-1e,27.0,False,F,451,P,2516.0
Earth,False,TRAPPIST-1e,22.0,False,G,362,P,769.0
Europa,False,55 Cancri e,62.0,False,A,29,S,7336.0
Europa,False,TRAPPIST-1e,58.0,False,A,29,S,1172.0
Earth,False,TRAPPIST-1e,54.0,False,G,359,S,912.0
Earth,False,TRAPPIST-1e,26.0,False,F,455,P,713.0
Europa,True,55 Cancri e,44.0,False,C,75,P,0.0
Europa,True,TRAPPIST-1e,34.0,False,C,75,P,0.0
Earth,True,TRAPPIST-1e,47.0,False,G,360,S,0.0
Europa,True,55 Cancri e,22.0,False,B,66,P,0.0
Earth,False,TRAPPIST-1e,29.0,False,F,441,S,885.0
Earth,False,55 Cancri e,43.0,False,G,365,P,673.0
Earth,False,TRAPPIST-1e,42.0,False,F,456,P,804.0
Earth,False,TRAPPIST-1e,39.0,False,F,442,S,881.0
Mars,False,TRAPPIST-1e,30.0,False,F,457,P,1486.0
Mars,False,TRAPPIST-1e,43.0,False,E,161,S,3046.0
Earth,True,TRAPPIST-1e,19.0,False,G,366,P,0.0
Mars,True,TRAPPIST-1e,26.0,False,F,458,P,0.0
Mars,False,TRAPPIST-1e,46.0,False,F,459,P,1433.0
Earth,False,TRAPPIST-1e,1.0,False,G,367,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,E,162,S,788.0
Europa,True,55 Cancri e,27.0,False,C,79,P,0.0
Europa,True,55 Cancri e,28.0,False,C,79,P,0.0
Mars,False,PSO J318.5-22,36.0,False,F,460,P,911.0
Earth,False,TRAPPIST-1e,19.0,False,G,362,S,809.0
Europa,False,TRAPPIST-1e,18.0,False,B,92,S,12727.0
Earth,False,TRAPPIST-1e,6.0,False,E,136,P,0.0
Mars,False,TRAPPIST-1e,18.0,False,F,463,P,5916.0
Earth,False,TRAPPIST-1e,22.0,False,E,163,S,1618.0
Mars,False,TRAPPIST-1e,37.0,False,F,465,P,2599.0
Earth,False,TRAPPIST-1e,36.0,False,G,365,S,723.0
Earth,False,TRAPPIST-1e,37.0,False,F,466,P,696.0
Mars,False,TRAPPIST-1e,35.0,False,F,448,S,617.0
Earth,False,TRAPPIST-1e,23.0,False,F,449,S,1053.0
Earth,False,55 Cancri e,24.0,False,F,449,S,1368.0
Europa,False,TRAPPIST-1e,54.0,True,A,18,P,7878.0
Mars,False,55 Cancri e,52.0,False,F,468,P,1431.0
Europa,False,TRAPPIST-1e,1.0,False,C,82,P,0.0
Europa,False,TRAPPIST-1e,22.0,False,C,82,P,3900.0
Europa,False,55 Cancri e,27.0,False,C,82,P,12152.0
Europa,True,55 Cancri e,48.0,False,C,82,P,0.0
Europa,False,55 Cancri e,47.0,False,C,82,P,1776.0
Europa,True,TRAPPIST-1e,25.0,False,D,77,S,0.0
Europa,False,55 Cancri e,49.0,False,D,77,S,3947.0
Europa,False,TRAPPIST-1e,33.0,False,D,77,S,11141.0
Europa,False,TRAPPIST-1e,67.0,False,D,77,S,5320.0
Earth,True,PSO J318.5-22,5.0,False,G,371,P,0.0
Europa,True,55 Cancri e,60.0,False,D,68,P,0.0
Europa,True,TRAPPIST-1e,56.0,False,D,68,P,0.0
Europa,False,TRAPPIST-1e,59.0,False,D,68,P,6306.0
Europa,True,TRAPPIST-1e,44.0,False,D,68,P,0.0
Earth,False,TRAPPIST-1e,33.0,False,G,372,P,914.0
Mars,False,TRAPPIST-1e,29.0,False,F,469,P,2366.0
Earth,True,TRAPPIST-1e,13.0,False,G,370,S,0.0
Europa,True,55 Cancri e,34.0,False,B,67,P,0.0
Earth,True,PSO J318.5-22,45.0,False,G,371,S,0.0
Earth,False,TRAPPIST-1e,39.0,False,G,372,S,908.0
Earth,False,TRAPPIST-1e,18.0,False,F,470,P,796.0
Earth,True,PSO J318.5-22,25.0,False,G,373,S,0.0
Earth,True,PSO J318.5-22,22.0,False,G,374,S,0.0
Europa,False,TRAPPIST-1e,32.0,False,B,68,P,5388.0
Earth,False,TRAPPIST-1e,21.0,False,F,453,S,2165.0
Mars,False,TRAPPIST-1e,16.0,False,E,137,P,0.0
Europa,True,55 Cancri e,45.0,False,A,30,S,0.0
Europa,False,TRAPPIST-1e,44.0,True,A,30,S,7570.0
Earth,True,55 Cancri e,27.0,False,G,376,P,0.0
Earth,False,TRAPPIST-1e,26.0,False,F,474,P,871.0
Mars,False,TRAPPIST-1e,46.0,False,F,475,P,1347.0
Earth,False,PSO J318.5-22,24.0,False,F,454,S,648.0
Earth,False,TRAPPIST-1e,15.0,False,F,455,S,785.0
Earth,True,TRAPPIST-1e,11.0,False,G,377,P,0.0
Earth,True,TRAPPIST-1e,7.0,False,G,377,P,0.0
Earth,True,PSO J318.5-22,0.0,False,G,377,P,0.0
Earth,True,55 Cancri e,15.0,False,G,377,P,0.0
Europa,False,55 Cancri e,44.0,True,D,78,S,3958.0
Earth,False,TRAPPIST-1e,35.0,False,G,379,S,907.0
Earth,False,55 Cancri e,13.0,False,F,457,S,880.0
Mars,False,TRAPPIST-1e,45.0,True,D,80,S,861.0
Earth,False,TRAPPIST-1e,20.0,False,E,139,P,1618.0
Earth,True,TRAPPIST-1e,24.0,False,G,379,P,0.0
Earth,True,PSO J318.5-22,3.0,False,G,380,P,0.0
Europa,False,TRAPPIST-1e,28.0,False,C,85,S,11846.0
Earth,False,TRAPPIST-1e,44.0,False,G,381,P,907.0
Mars,True,TRAPPIST-1e,35.0,False,F,482,P,0.0
Earth,False,TRAPPIST-1e,19.0,False,F,483,P,645.0
Mars,False,TRAPPIST-1e,22.0,False,E,141,P,954.0
Earth,False,TRAPPIST-1e,30.0,False,F,484,P,923.0
Europa,False,TRAPPIST-1e,36.0,False,D,81,S,12670.0
Mars,False,TRAPPIST-1e,20.0,False,E,166,S,1896.0
Earth,False,55 Cancri e,22.0,False,G,383,P,753.0
Earth,False,55 Cancri e,22.0,False,F,459,S,703.0
Europa,True,PSO J318.5-22,32.0,False,C,83,P,0.0
Earth,False,TRAPPIST-1e,35.0,False,F,487,P,872.0
Earth,True,TRAPPIST-1e,57.0,False,G,383,S,0.0
Earth,True,PSO J318.5-22,3.0,False,G,383,S,0.0
Earth,False,55 Cancri e,11.0,False,G,383,S,0.0
Earth,False,TRAPPIST-1e,4.0,False,G,383,S,0.0
Mars,False,TRAPPIST-1e,23.0,False,F,461,S,1854.0
Earth,False,TRAPPIST-1e,22.0,False,G,384,S,722.0
Earth,False,TRAPPIST-1e,20.0,False,E,143,P,788.0
Earth,False,TRAPPIST-1e,46.0,False,E,168,S,1625.0
Earth,False,TRAPPIST-1e,30.0,False,G,386,S,884.0
Earth,False,55 Cancri e,36.0,False,G,387,S,810.0
Earth,False,TRAPPIST-1e,21.0,False,F,490,P,829.0
Mars,False,TRAPPIST-1e,25.0,True,E,169,S,1173.0
Earth,True,PSO J318.5-22,42.0,False,G,388,P,0.0
Europa,False,TRAPPIST-1e,29.0,False,C,86,S,4762.0
Europa,True,TRAPPIST-1e,17.0,False,C,86,S,0.0
Europa,False,55 Cancri e,36.0,False,C,86,S,7729.0
Mars,True,TRAPPIST-1e,18.0,False,F,465,S,0.0
Earth,False,55 Cancri e,22.0,False,F,492,P,690.0
Earth,True,TRAPPIST-1e,22.0,False,G,390,P,0.0
Earth,True,TRAPPIST-1e,24.0,False,G,392,P,0.0
Earth,True,PSO J318.5-22,18.0,False,G,390,S,0.0
Europa,False,TRAPPIST-1e,42.0,False,T,1,P,7411.0
Earth,False,TRAPPIST-1e,43.0,False,G,391,S,1817.0
Earth,False,TRAPPIST-1e,32.0,False,G,393,P,887.0
Earth,True,TRAPPIST-1e,15.0,False,G,394,P,0.0
Earth,True,TRAPPIST-1e,20.0,False,G,395,P,0.0
Earth,False,TRAPPIST-1e,34.0,False,G,393,S,1816.0
Mars,True,TRAPPIST-1e,70.0,False,F,466,S,0.0
Mars,True,TRAPPIST-1e,18.0,False,F,466,S,0.0
Europa,True,TRAPPIST-1e,26.0,False,B,94,S,0.0
Earth,False,TRAPPIST-1e,17.0,False,F,497,P,1106.0
Earth,False,TRAPPIST-1e,13.0,False,F,498,P,776.0
Earth,False,TRAPPIST-1e,33.0,False,F,467,S,2789.0
Mars,True,TRAPPIST-1e,23.0,False,F,503,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,F,504,P,777.0
Earth,False,55 Cancri e,17.0,False,F,468,S,876.0
Earth,False,55 Cancri e,43.0,False,F,506,P,747.0
Earth,False,TRAPPIST-1e,33.0,False,F,507,P,755.0
Mars,True,TRAPPIST-1e,28.0,False,F,508,P,0.0
Mars,True,TRAPPIST-1e,27.0,False,E,146,P,0.0
Mars,True,TRAPPIST-1e,7.0,False,F,508,P,0.0
Mars,True,TRAPPIST-1e,27.0,False,E,147,P,0.0
Earth,False,TRAPPIST-1e,19.0,False,F,510,P,801.0
Mars,False,TRAPPIST-1e,42.0,False,F,471,S,1997.0
Earth,True,PSO J318.5-22,13.0,False,G,399,P,0.0
Earth,True,TRAPPIST-1e,16.0,False,G,400,P,0.0
Earth,False,TRAPPIST-1e,21.0,False,F,511,P,702.0
Earth,True,PSO J318.5-22,28.0,False,G,402,P,0.0
Mars,False,TRAPPIST-1e,42.0,False,D,83,S,1059.0
Earth,False,TRAPPIST-1e,23.0,False,G,398,S,706.0
Earth,False,TRAPPIST-1e,45.0,False,G,403,P,908.0
Earth,False,TRAPPIST-1e,30.0,False,E,173,S,790.0
Europa,True,55 Cancri e,50.0,False,C,86,P,0.0
Earth,True,TRAPPIST-1e,52.0,False,G,404,P,0.0
Earth,False,55 Cancri e,41.0,False,F,476,S,699.0
Earth,False,55 Cancri e,35.0,False,F,477,S,2789.0
Earth,False,TRAPPIST-1e,26.0,False,F,513,P,775.0
Earth,False,TRAPPIST-1e,17.0,False,F,513,P,1997.0
Mars,False,TRAPPIST-1e,69.0,False,D,85,S,5508.0
Europa,True,TRAPPIST-1e,27.0,False,B,72,P,0.0
Earth,False,PSO J318.5-22,25.0,False,G,401,S,4707.0
Mars,True,TRAPPIST-1e,27.0,False,F,480,S,0.0
Earth,False,TRAPPIST-1e,25.0,False,F,481,S,724.0
Earth,False,TRAPPIST-1e,14.0,False,E,176,S,990.0
Europa,True,55 Cancri e,27.0,False,C,89,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,G,403,S,1798.0
Earth,False,TRAPPIST-1e,24.0,False,G,404,S,889.0
Mars,False,TRAPPIST-1e,4.0,False,F,516,P,0.0
Earth,False,TRAPPIST-1e,19.0,False,E,149,P,788.0
Europa,True,55 Cancri e,39.0,False,A,19,P,0.0
Europa,False,55 Cancri e,23.0,False,A,19,P,3687.0
Europa,True,TRAPPIST-1e,18.0,False,D,86,S,0.0
Earth,False,TRAPPIST-1e,43.0,False,F,483,S,1154.0
Mars,False,TRAPPIST-1e,28.0,False,F,517,P,1467.0
Europa,False,55 Cancri e,33.0,False,C,91,S,16060.0
Europa,True,55 Cancri e,37.0,False,C,91,S,0.0
Europa,False,55 Cancri e,28.0,True,B,96,S,8453.0
Europa,True,55 Cancri e,18.0,False,B,96,S,0.0
Earth,False,55 Cancri e,29.0,False,G,406,P,809.0
Europa,True,TRAPPIST-1e,29.0,False,C,87,P,0.0
Europa,True,55 Cancri e,28.0,False,C,87,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,F,485,S,1291.0
Europa,False,TRAPPIST-1e,59.0,False,C,88,P,6827.0
Europa,True,55 Cancri e,38.0,False,B,74,P,0.0
Mars,False,TRAPPIST-1e,48.0,False,F,487,S,1161.0
Mars,False,TRAPPIST-1e,25.0,False,F,488,S,1925.0
Earth,True,PSO J318.5-22,25.0,False,G,407,P,0.0
Mars,False,TRAPPIST-1e,24.0,False,F,489,S,2456.0
Mars,True,TRAPPIST-1e,69.0,False,F,489,S,0.0
Europa,True,55 Cancri e,18.0,False,B,75,P,0.0
Earth,True,TRAPPIST-1e,28.0,False,G,409,P,0.0
Earth,False,PSO J318.5-22,23.0,False,E,152,P,685.0
Mars,False,TRAPPIST-1e,24.0,False,E,177,S,1378.0
Mars,False,TRAPPIST-1e,29.0,False,E,153,P,1020.0
Europa,False,55 Cancri e,6.0,False,B,97,S,0.0
Europa,False,TRAPPIST-1e,42.0,False,B,97,S,3895.0
Earth,True,55 Cancri e,78.0,False,G,410,P,0.0
Earth,False,TRAPPIST-1e,36.0,False,F,491,S,828.0
Europa,False,55 Cancri e,41.0,False,A,20,P,17160.0
Earth,False,TRAPPIST-1e,18.0,False,G,407,S,907.0
Mars,False,TRAPPIST-1e,62.0,False,F,522,P,1700.0
Mars,False,TRAPPIST-1e,0.0,False,F,522,P,0.0
Mars,False,TRAPPIST-1e,55.0,False,F,522,P,1289.0
Earth,True,TRAPPIST-1e,16.0,False,G,411,P,0.0
Earth,False,TRAPPIST-1e,32.0,False,F,523,P,723.0
Earth,False,TRAPPIST-1e,19.0,False,F,492,S,1128.0
Earth,False,55 Cancri e,4.0,False,G,408,S,0.0
Europa,True,TRAPPIST-1e,30.0,False,D,87,S,0.0
Europa,True,55 Cancri e,24.0,False,B,78,P,0.0
Europa,True,TRAPPIST-1e,34.0,False,B,78,P,0.0
Europa,True,TRAPPIST-1e,30.0,False,C,92,S,0.0
Mars,False,TRAPPIST-1e,3.0,False,F,525,P,0.0
Mars,False,TRAPPIST-1e,55.0,False,F,525,P,1325.0
Mars,True,TRAPPIST-1e,0.0,False,F,525,P,0.0
Earth,True,PSO J318.5-22,0.0,False,G,412,P,0.0
Earth,False,TRAPPIST-1e,2.0,False,G,412,P,0.0
Earth,False,TRAPPIST-1e,19.0,False,E,178,S,788.0
Mars,True,TRAPPIST-1e,24.0,False,F,526,P,0.0
Mars,False,TRAPPIST-1e,20.0,False,F,526,P,2598.0
Europa,False,TRAPPIST-1e,42.0,False,E,179,S,3125.0
Mars,True,TRAPPIST-1e,17.0,False,F,527,P,0.0
Mars,False,TRAPPIST-1e,32.0,False,E,155,P,1360.0
Earth,False,TRAPPIST-1e,28.0,False,G,414,P,784.0
Europa,True,55 Cancri e,21.0,False,C,93,S,0.0
Europa,True,55 Cancri e,56.0,True,C,93,S,0.0
Europa,True,55 Cancri e,28.0,False,C,90,P,0.0
Earth,False,TRAPPIST-1e,42.0,False,F,496,S,803.0
Earth,False,TRAPPIST-1e,18.0,False,F,498,S,2757.0
Earth,False,TRAPPIST-1e,24.0,False,G,412,S,721.0
Earth,False,TRAPPIST-1e,20.0,False,E,156,P,786.0
Earth,False,TRAPPIST-1e,22.0,False,F,531,P,759.0
Earth,False,TRAPPIST-1e,22.0,False,G,415,P,785.0
Earth,False,TRAPPIST-1e,28.0,False,G,419,P,913.0
Europa,True,TRAPPIST-1e,26.0,False,C,91,P,0.0
Europa,True,55 Cancri e,50.0,False,C,91,P,0.0
Europa,False,TRAPPIST-1e,30.0,True,C,91,P,3577.0
Europa,True,TRAPPIST-1e,29.0,False,C,91,P,0.0
Earth,False,TRAPPIST-1e,8.0,False,G,420,P,0.0
Earth,False,TRAPPIST-1e,45.0,False,G,420,P,839.0
Earth,True,PSO J318.5-22,35.0,False,G,420,P,0.0
Earth,False,PSO J318.5-22,18.0,False,F,499,S,636.0
Earth,False,TRAPPIST-1e,23.0,False,G,413,S,817.0
Mars,False,TRAPPIST-1e,29.0,True,D,75,P,861.0
Mars,False,TRAPPIST-1e,18.0,False,D,75,P,3739.0
Earth,False,TRAPPIST-1e,28.0,False,G,421,P,881.0
Europa,True,TRAPPIST-1e,34.0,False,B,98,S,0.0
Mars,False,55 Cancri e,0.0,False,F,533,P,0.0
Mars,False,TRAPPIST-1e,28.0,False,D,76,P,1056.0
Mars,False,TRAPPIST-1e,8.0,False,F,533,P,0.0
Mars,False,TRAPPIST-1e,20.0,False,D,77,P,3362.0
Mars,True,TRAPPIST-1e,20.0,False,F,534,P,0.0
Mars,True,TRAPPIST-1e,25.0,False,F,500,S,0.0
Mars,False,TRAPPIST-1e,37.0,False,F,535,P,2476.0
Mars,True,TRAPPIST-1e,24.0,False,F,536,P,0.0
Mars,True,TRAPPIST-1e,34.0,False,E,158,P,0.0
Mars,False,55 Cancri e,0.0,False,E,158,P,0.0
Mars,True,TRAPPIST-1e,25.0,False,E,158,P,0.0
Mars,True,55 Cancri e,43.0,False,D,88,S,0.0
Europa,True,TRAPPIST-1e,63.0,False,B,99,S,0.0
Europa,True,TRAPPIST-1e,17.0,False,B,99,S,0.0
Europa,False,55 Cancri e,35.0,False,B,99,S,2451.0
Europa,False,TRAPPIST-1e,12.0,False,B,99,S,0.0
Earth,False,PSO J318.5-22,32.0,False,G,424,P,528.0
Earth,False,55 Cancri e,17.0,False,F,504,S,2000.0
Earth,False,55 Cancri e,34.0,False,F,505,S,560.0
Earth,True,TRAPPIST-1e,14.0,False,G,426,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,E,160,P,1620.0
Earth,False,TRAPPIST-1e,19.0,False,F,543,P,716.0
Europa,True,55 Cancri e,25.0,False,A,21,P,0.0
Europa,False,55 Cancri e,51.0,False,A,21,P,2158.0
Earth,False,TRAPPIST-1e,22.0,False,G,427,P,807.0
Mars,True,55 Cancri e,50.0,False,F,545,P,0.0
Earth,False,TRAPPIST-1e,26.0,False,E,181,S,788.0
Earth,False,TRAPPIST-1e,19.0,False,F,510,S,1051.0
Earth,True,PSO J318.5-22,16.0,False,G,420,S,0.0
Earth,False,PSO J318.5-22,34.0,False,F,511,S,867.0
Europa,False,TRAPPIST-1e,55.0,False,C,95,S,3710.0
Europa,False,TRAPPIST-1e,42.0,False,C,95,S,15601.0
Europa,True,TRAPPIST-1e,14.0,False,C,95,S,0.0
Europa,False,55 Cancri e,28.0,False,C,95,S,6045.0
Europa,True,55 Cancri e,26.0,False,C,95,S,0.0
Europa,False,55 Cancri e,33.0,False,B,80,P,9834.0
Earth,False,TRAPPIST-1e,24.0,False,F,547,P,704.0
Earth,False,TRAPPIST-1e,23.0,False,G,421,S,809.0
Mars,False,TRAPPIST-1e,16.0,False,D,79,P,2717.0
Earth,True,TRAPPIST-1e,36.0,False,G,431,P,0.0
Europa,True,55 Cancri e,44.0,False,B,100,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,513,S,702.0
Earth,True,TRAPPIST-1e,30.0,False,G,422,S,0.0
Earth,False,TRAPPIST-1e,20.0,False,F,514,S,715.0
Earth,False,TRAPPIST-1e,19.0,False,F,515,S,758.0
Earth,True,TRAPPIST-1e,21.0,False,G,423,S,0.0
Earth,False,55 Cancri e,13.0,False,F,552,P,815.0
Mars,True,PSO J318.5-22,71.0,False,E,183,S,0.0
Mars,True,TRAPPIST-1e,28.0,False,E,184,S,0.0
Mars,False,55 Cancri e,18.0,False,E,184,S,2134.0
Earth,False,55 Cancri e,23.0,False,F,516,S,2902.0
Earth,False,55 Cancri e,34.0,False,G,424,S,705.0
Earth,False,TRAPPIST-1e,20.0,False,G,432,P,809.0
Earth,False,55 Cancri e,17.0,False,F,554,P,797.0
Earth,False,PSO J318.5-22,21.0,False,F,555,P,1277.0
Europa,False,TRAPPIST-1e,33.0,False,C,97,S,6802.0
Europa,False,55 Cancri e,34.0,False,B,81,P,6790.0
Europa,False,TRAPPIST-1e,51.0,False,D,90,S,2338.0
Earth,False,TRAPPIST-1e,21.0,False,F,517,S,690.0
Earth,False,TRAPPIST-1e,31.0,False,G,434,P,888.0
Europa,False,TRAPPIST-1e,36.0,False,A,32,S,1303.0
Europa,False,TRAPPIST-1e,39.0,False,B,83,P,21839.0
Earth,False,TRAPPIST-1e,26.0,False,G,435,P,907.0
Earth,False,TRAPPIST-1e,51.0,False,F,556,P,1390.0
Earth,False,55 Cancri e,27.0,False,E,185,S,719.0
Earth,False,TRAPPIST-1e,31.0,False,F,558,P,803.0
Europa,False,TRAPPIST-1e,57.0,False,A,22,P,2979.0
Europa,False,55 Cancri e,36.0,True,A,22,P,2195.0
Europa,False,TRAPPIST-1e,55.0,False,A,22,P,3133.0
Mars,False,TRAPPIST-1e,18.0,False,E,186,S,955.0
Europa,False,TRAPPIST-1e,50.0,False,C,94,P,4588.0
Earth,False,TRAPPIST-1e,24.0,False,F,520,S,714.0
Earth,True,PSO J318.5-22,20.0,False,G,428,S,0.0
Earth,True,TRAPPIST-1e,24.0,False,G,437,P,0.0
Earth,False,TRAPPIST-1e,18.0,False,G,429,S,627.0
Earth,False,TRAPPIST-1e,44.0,False,F,521,S,1527.0
Europa,True,55 Cancri e,27.0,False,B,102,S,0.0
Europa,False,TRAPPIST-1e,58.0,False,B,103,S,3467.0
Europa,True,PSO J318.5-22,29.0,False,B,103,S,0.0
Earth,False,PSO J318.5-22,23.0,False,F,522,S,600.0
Mars,True,TRAPPIST-1e,3.0,False,F,523,S,0.0
Mars,False,TRAPPIST-1e,0.0,False,F,523,S,0.0
Europa,True,TRAPPIST-1e,44.0,False,B,105,S,0.0
Earth,True,TRAPPIST-1e,20.0,False,G,438,P,0.0
Earth,False,TRAPPIST-1e,18.0,False,G,431,S,888.0
Europa,True,TRAPPIST-1e,72.0,False,B,106,S,0.0
Earth,False,PSO J318.5-22,23.0,False,G,439,P,3560.0
Earth,False,TRAPPIST-1e,11.0,False,G,439,P,0.0
Earth,True,TRAPPIST-1e,1.0,False,G,439,P,0.0
Earth,False,PSO J318.5-22,25.0,False,F,563,P,826.0
Mars,True,55 Cancri e,25.0,False,D,93,S,0.0
Europa,True,TRAPPIST-1e,24.0,False,C,99,S,0.0
Europa,False,TRAPPIST-1e,54.0,False,C,99,S,6790.0
Mars,True,55 Cancri e,17.0,False,F,564,P,0.0
Mars,False,TRAPPIST-1e,48.0,False,F,564,P,1286.0
Earth,False,TRAPPIST-1e,40.0,False,F,565,P,634.0
Earth,True,TRAPPIST-1e,2.0,False,G,440,P,0.0
Earth,False,TRAPPIST-1e,32.0,False,F,525,S,867.0
Earth,True,TRAPPIST-1e,15.0,False,G,432,S,0.0
Earth,False,TRAPPIST-1e,16.0,False,F,527,S,2921.0
Earth,False,55 Cancri e,6.0,False,G,435,S,0.0
Mars,False,TRAPPIST-1e,10.0,False,F,567,P,0.0
Mars,False,TRAPPIST-1e,27.0,True,D,81,P,1737.0
Europa,False,55 Cancri e,45.0,False,C,100,S,2264.0
Europa,False,TRAPPIST-1e,26.0,False,C,100,S,6771.0
Mars,False,TRAPPIST-1e,29.0,False,E,187,S,1049.0
Earth,False,TRAPPIST-1e,19.0,False,E,163,P,505.0
Mars,False,TRAPPIST-1e,43.0,False,E,164,P,1298.0
Earth,False,TRAPPIST-1e,15.0,False,F,528,S,759.0
Mars,False,TRAPPIST-1e,52.0,False,F,569,P,1119.0
Earth,False,55 Cancri e,29.0,False,F,529,S,691.0
Earth,False,TRAPPIST-1e,9.0,False,G,444,P,0.0
Earth,False,TRAPPIST-1e,58.0,False,E,165,P,840.0
Earth,False,PSO J318.5-22,39.0,False,E,188,S,907.0
Earth,False,TRAPPIST-1e,13.0,False,E,166,P,986.0
Europa,True,55 Cancri e,36.0,False,B,85,P,0.0
Mars,False,55 Cancri e,23.0,False,F,572,P,1141.0
Earth,False,TRAPPIST-1e,33.0,False,E,167,P,994.0
Earth,True,TRAPPIST-1e,0.0,False,G,438,S,0.0
Earth,False,TRAPPIST-1e,36.0,False,G,439,S,885.0
Earth,False,55 Cancri e,15.0,False,G,439,S,444.0
Earth,False,TRAPPIST-1e,31.0,False,E,168,P,859.0
